:nemesis	:info	:start-partition	:minority-third
1	:invoke	:read	nil
2	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
1	:ok	:read	0
2	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	0
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
2	:invoke	:add	0
0	:invoke	:read	nil
2	:ok	:add	0
0	:ok	:read	2
1	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	3
1	:invoke	:add	2
1	:ok	:add	2
0	:ok	:add	3
1	:invoke	:read	nil
2	:invoke	:add	0
1	:ok	:read	9
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	9
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	9
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	12
1	:ok	:read	12
2	:invoke	:read	nil
2	:ok	:read	12
0	:invoke	:read	nil
0	:ok	:read	12
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	12
1	:ok	:read	12
2	:invoke	:read	nil
2	:ok	:read	12
0	:invoke	:read	nil
0	:ok	:read	12
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	16
0	:invoke	:read	nil
1	:invoke	:add	2
0	:ok	:read	16
1	:ok	:add	2
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	21
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	21
1	:ok	:read	21
2	:invoke	:read	nil
2	:ok	:read	21
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:invoke	:add	1
0	:ok	:read	21
1	:ok	:read	21
2	:ok	:add	1
2	:invoke	:add	3
0	:invoke	:read	nil
2	:ok	:add	3
1	:invoke	:add	0
0	:ok	:read	25
1	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	29
0	:invoke	:read	nil
0	:ok	:read	29
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	34
0	:invoke	:add	0
1	:invoke	:read	nil
1	:ok	:read	34
0	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	34
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	35
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:add	1
0	:ok	:read	38
1	:ok	:read	38
1	:invoke	:read	nil
1	:ok	:read	38
2	:invoke	:add	4
